CODIGO;CODIGO2;UBICACIÓN;FECHA;ORIGEN;CODCLI2;TAREAS
80179;80179,PANADERIA FyO (1.5% dto) Rubia de trenzas;"Marcador 74
2024/10/30 @ 11:17:43
http://maps.google.com/?q=-34.4884178,-55.6308318";4/11/2024;agregados_adrian;80179;80179
80143;80143,ALMACEN EL CEIBO (Migues);"Marcador 75
2024/10/30 @ 11:26:50
http://maps.google.com/?q=-34.4815662094053,-55.632130354642875";4/11/2024;agregados_adrian;80143;80143
80142;80142,KIOSCO CRISTINA (  esta cerrado y creo que abre octubre/noviembre );"Marcador 76
2024/10/30 @ 11:27:13
http://maps.google.com/?q=-34.481295641836184,-55.63147656619549";4/11/2024;agregados_adrian;80142;80142
80199;80199, ALMACEN PICO (Migues);"Marcador 77
2024/10/30 @ 11:28:24
http://maps.google.com/?q=-34.487439713775835,-55.621397495269775";4/11/2024;agregados_adrian;80199;80199
80177;80177,PROVISION RyG (MIGUES);"Marcador 78
2024/10/30 @ 11:29:49
http://maps.google.com/?q=-34.48929318242332,-55.625935792922974";4/11/2024;agregados_adrian;80177;80177
80206;80206,MARIA DE LOS ANGELES SANTOS (MIGUES);"Marcador 79
2024/10/30 @ 11:35:18
http://maps.google.com/?q=-34.48859264409832,-55.6269396096468";4/11/2024;agregados_adrian;80206;80206
22996;22996, CARLOS JUAREZ - CARRITO CAPILLA;"Marcador 74
2024/10/30 @ 11:42:40
http://maps.google.com/?q=-34.698464348318694,-55.518085174262524";4/11/2024;agregados_adrian;22996;22996
22997;22997, MARISOL GARCIA, MINI LA CAPILLA;"Marcador 75
2024/10/30 @ 11:44:18
http://maps.google.com/?q=-34.698892156610846,-55.516273342072964";4/11/2024;agregados_adrian;22997;22997
80156;80156,ALMACEN DESAFIO (MIGUES);"Marcador 80
2024/11/02 @ 10:31:45
http://maps.google.com/?q=-34.48723631885324,-55.62870282679796";4/11/2024;agregados_adrian;80156;80156
77778;77778,Entregar y Cobrar Garibotti;"Marcador 81
2024/11/02 @ 10:33:21
http://maps.google.com/?q=-34.48813086591367,-55.626581199467175";4/11/2024;agregados_adrian;77778;77778
80075;80075, Petrobras Migues (Migues);"Marcador 82
2024/11/02 @ 10:34:04
http://maps.google.com/?q=-34.48986714967512,-55.623761527240276";4/11/2024;agregados_adrian;80075;80075
80016;80016, Acodike  ( Migues ). Visita periodica;"Marcador 83
2024/11/02 @ 10:35:40
http://maps.google.com/?q=-34.486240063460436,-55.630541145801544";4/11/2024;agregados_adrian;80016;80016
80192;80192,PROV.EL PAJARITO (Montes);"Marcador 84
2024/11/02 @ 10:37:34
http://maps.google.com/?q=-34.49723911348474,-55.56279927492142";4/11/2024;agregados_adrian;80192;80192
12289;12289, ALOBA SRL (pasa pedido);"Marcador 4
2024/10/17 @ 08:38:40
http://maps.google.com/?q=-34.7716867,-55.8409431";26/10/2024;agregados_adrian;12289;12289
81244;81244,RAPIMAR SAS (Neptunia);"Marcador 5
2024/10/17 @ 09:50:42
http://maps.google.com/?q=-34.77990729729387,-55.873318277299404";26/10/2024;agregados_adrian;81244;81244
81222;81222,LOS GURICES;"Marcador 7
2024/10/17 @ 10:12:33
http://maps.google.com/?q=-34.737790583213126,-55.87383929640055";26/10/2024;agregados_adrian;81222;81222
12326;12326, CENTRO MILITAR:;"Marcador 8
2024/10/17 @ 10:39:13
http://maps.google.com/?q=-34.78730369999472,-55.84405070000554";26/10/2024;agregados_adrian;12326;12326
82135;82135, bar penelope (Salinas Sur);"Marcador 9
2024/10/17 @ 10:47:51
http://maps.google.com/?q=-34.77844997975148,-55.83904601633549";26/10/2024;agregados_adrian;82135;82135
81157;81157,SUPER EL ARCO;"Marcador 11
2024/10/17 @ 10:53:30
http://maps.google.com/?q=-34.77555702351752,-55.840239264070995";26/10/2024;agregados_adrian;81157;81157
81221;81221,LA POCHERIA (Salinas);"Marcador 12
2024/10/17 @ 10:57:36
http://maps.google.com/?q=-34.775876203771766,-55.843559838831425";26/10/2024;agregados_adrian;81221;81221
81004;81004, KIOSCO 27  ( salinas ). Visita periodica;"Marcador 13
2024/10/17 @ 10:59:24
http://maps.google.com/?q=-34.77589740897357,-55.840345211327076";26/10/2024;agregados_adrian;81004;81004
85030;85030,RUMBO A LA PLAYA (Neptunia Sur);"Marcador 14
2024/10/17 @ 11:09:50
http://maps.google.com/?q=-34.78507076379236,-55.86248517036438";26/10/2024;agregados_adrian;85030;85030
81153;81153, COSTA MARKET. Informar situación de crédito.;"Marcador 15
2024/10/17 @ 11:27:06
http://maps.google.com/?q=-34.78150998640984,-55.83157338201999";26/10/2024;agregados_adrian;81153;81153
