PROYECTO;TAREA;DESCRIPCION;SECCION;FECHA;PERIODICIDAD;ORDEN;RESPONSABLE;CODPROY;CODTAREA;ETIQUETA;CODIGO;TIPO;ORDEN;CODCLI2;1;
Ruta Dario Lunes;22049, JUAN CARLOS DIAZ ( Super Toton );??/// http://maps.google.com/?q=-34.792933063446306,-55.496172532439225;;2025-02-03T03:00:00.000Z;cada lunes;23;26988122;2236031334;3898369688;;22049;Ruta;1;22049;;
Ruta Dario Lunes;80233,MINIMARKET Y ROTI EL REPECHO;"????/// Marcador 62
2024/10/28 @ 10:59:28
http://maps.google.com/?q=-34.7690565,-55.577955";;2025-02-03T03:00:00.000Z;cada lunes;24;26988122;2236031334;8191500056;;80233;Ruta;1;80233;;
Ruta Dario Lunes;82207,JENNIFER SOLEDAD LOS AMIGOS;????///;;2025-02-03T03:00:00.000Z;CADA LUNES;25;26988122;2236031334;8390129085;;82207;Ruta;1;82207;;
Ruta Dario Lunes;80301, GUERRERO BATISTA SANTIAGO;??/// http://maps.google.com/?q=-34.773086, -55.761351;;2025-02-03T03:00:00.000Z;CADA LUN;26;26988122;2236031334;8424926783;;80301;Ruta;1;80301;;
Ruta Dario Lunes;80313,SOL Y AGU;http://maps.google.com/?q=-34.770816,-55.575468;;2025-02-03T03:00:00.000Z;CADA LUNES;27;26988122;2236031334;8624166966;;80313;Ruta;1;80313;;
Ruta Dario Lunes;80315,CASA NEPTUNO;http://maps.google.com/?q=-34.782554,-55.556325;;2025-02-03T03:00:00.000Z;CADA LUNES;28;26988122;2236031334;8624190914;;80315;Ruta;1;80315;;
Ruta Dario Lunes;81233,EL LOLO;"??????/// Marcador 26
2024/10/18 @ 17:14:54
http://maps.google.com/?q=-34.76251777156095,-55.745491571724415";;2025-02-03T03:00:00.000Z;cada lun;29;26988122;2236031334;7401792946;;81233;Ruta;1;81233;;
Ruta Dario Lunes;80203, KIOSCO LO NUESTRO (Poner ubicacion en comentarios);??///;;2025-02-03T03:00:00.000Z;CADA LUN;30;26988122;2236031334;8655934664;;80203;Ruta;1;80203;;
Ruta Dario Lunes;22036, EL RESORTE ( mandar x Wsp el pedido) Veronica;????/// http://maps.google.com/?q=-34.76839180413502,-55.57291153818368;;2025-02-03T03:00:00.000Z;cada lunes;31;26988122;2236031334;8706779336;;22036;Ruta;1;22036;;
Ruta Dario Lunes;80212,KIOSCO TIZIANO  (Ruta lado norte);????///;;2025-02-03T03:00:00.000Z;CADA LUNES;32;26988122;2236031334;8722064341;;80212;Ruta;1;80212;;
Ruta Dario Lunes;80321, VERONICA, LA MARQUEZA;;;2025-02-03T03:00:00.000Z;CADA LUNES;33;26988122;2236031334;8722224273;;80321;Ruta;1;80321;;
Ruta Dario Lunes;11998, CARLOS BONAHON;??/// http://maps.google.com/?q=-34.75640064350952,-55.724070444703095;;2025-02-03T03:00:00.000Z;cada lunes;34;26988122;2236031334;8778693161;;11998;Ruta;1;11998;;
